origin,vol_cbm,weight_ton,partner_longitude,partner_latitude,kecamatan
SO359302,0.12996425,0.022019999999999998,106.8201298,-6.3864136,BEJI
SO359301,0.320805625,0.15293199999999998,106.7629477,-6.1916478,KEBON JERUK
SO359294,0.98460865,0.517988,106.7515531,-6.2263381,PESANGGRAHAN
SO359293,0.287074,0.12631900000000001,106.806145,-6.46585,BOJONG GEDE
SO359292,0.10190492,0.03889,106.7091993,-6.3445611,SERPONG
SO359287,0.052521,0.027,106.7262191,-6.1629415,CENGKARENG
SO359266,0.086195,0.028668,106.545232,-6.135388,PASARKEMIS
SO359264,0.087535,0.045,106.798776,-6.45421,BOJONG GEDE
SO359258,0.025688,0.0068550000000000008,106.8026056,-6.3185837,CINERE
SO359257,0.268055525,0.0778275,106.6758941,-6.24755,SERPONG UTARA
SO359254,0.54704,0.425,106.7580214,-6.2032196,KEMBANGAN
SO359237,0.593812,0.065,106.7333908,-6.2390016,LARANGAN
SO359230,0.07937125,0.016,106.8019721,-6.5058312,CIBINONG
SO359222,0.043195,0.017329,106.7125526,-6.1120816,KALI DERES
SO359221,0.1587425,0.032,106.846679,-6.2848073,PASAR MINGGU
SO359220,0.18279925,0.0458,106.682724,-6.231659,PONDOK AREN
SO359218,0.154128,0.0142385,106.7525183,-6.3416605,CIPUTAT
SO359215,0.1229638,0.065089,106.7056801,-6.2527527,CILEDUG
SO358901,0.078347,0.0158,106.7256058,-6.2625253,PONDOK AREN
SO359198,0.052521,0.027,106.7928645,-6.4697412,BOJONG GEDE
SO359197,0.3606896,0.155595,106.7948686,-6.2568086,KEBAYORAN BARU
SO359194,0.165825,0.040828,106.7971703,-6.2693374,CILANDAK
SO359191,0.11544,0.039779,106.6557194,-6.1704286,TANGERANG
SO359184,0.1281385,0.051877,106.6657703,-6.3044472,SERPONG
SO359183,0.35783646,0.17254,106.744508,-6.3946488,BOJONGSARI
SO359171,0.42670094,0.267172,106.809238,-6.2927231,PASAR MINGGU
SO359170,0.326688,0.0708,106.5536811,-6.2292319,CURUG
SO359156,0.07331075,0.01105,106.7810415,-6.4347606,
SO359135,0.1165839,0.0289953,106.7354695,-6.203899,KEMBANGAN
SO359115,0.051376,0.009125,106.8088504,-6.4480052,BOJONG GEDE
SO359108,0.43,0.1,106.672342,-6.164256,BATUCEPER
SO359106,0.274176,0.155,106.5974346,-6.185516,PERIUK
SO359101,0.43,0.1,106.8150705,-6.3044283,PASAR MINGGU
SO359099,0.11946984,0.057307000000000004,106.7584197,-6.3193178,CIPUTAT TIMUR
SO359095,0.142827467,0.046116500000000005,106.7083759,-6.3306165,PAMULANG
SO359093,0.17733446,0.12323,106.7680293,-6.1563707,CENGKARENG
SO359084,0.153045125,0.039475,106.813076,-6.427965,CIPAYUNG
SO359077,0.3587008,0.0325,106.7104602,-6.2324904,CILEDUG
SO359062,0.467195,0.110576,106.779799,-6.182458,KEBON JERUK
SO359059,0.5900718,0.158024,106.575524,-6.205678,JATI UWUNG
SO359046,0.215,0.05,106.8268989,-6.2989287,PASAR MINGGU
SO359045,0.187503,0.045049,106.6959404,-6.169188,KALI DERES
SO359040,0.14636035,0.043439,106.7916767,-6.1494853,GROGOL PETAMBURAN
SO359039,0.3863116,0.037948,106.7799855,-6.16937,GROGOL PETAMBURAN
SO359038,0.0519887,0.013585000000000002,106.680189,-6.1501093,BENDA
SO359037,0.050219,0.028454,106.8459918,-6.2774064,PASAR MINGGU
SO359036,0.0292545,0.009980000000000001,106.6763275,-6.0167522,TELUKNAGA
SO359025,0.14271392,0.048051,106.793366,-6.3289241,CINERE
SO359021,0.36595775,0.076596,106.6929553,-6.2772794,PONDOK AREN
SO359015,0.30903525,0.1284085,106.698419,-6.3580127,SETU
SO359005,0.047477,0.003912,106.629687,-6.219586,CIBODAS
SO358993,0.04757616,0.01819,106.8340885,-6.4687932,CIBINONG
SO358991,0.04156225,0.013746000000000001,106.6801421,-6.0907032,KOSAMBI
SO358987,0.203732994,0.097367000000000009,106.8139276,-6.3361412,JAGAKARSA
SO358986,0.05651478,0.016399999999999998,106.7066946,-6.3994766,GUNUNG SINDUR
SO358982,0.025688,0.006384,106.7193566,-6.1070863,KALI DERES
SO358978,1.10276925,0.149875,106.846858,-6.314486,JAGAKARSA
SO358974,0.00889203,0.0068,106.5664325,-6.2627422,CURUG
SO358970,0.17507,0.09,106.7890407,-6.2204423,KEBAYORAN LAMA
SO358962,0.06975545,0.033964,106.7858256,-6.491392,BOJONG GEDE
SO358960,0.60008861,0.17868,106.7696228,-6.2320348,KEBAYORAN LAMA
SO358950,0.06294892,0.023695,106.7354952,-6.4589096,TAJUR HALANG
SO358939,0.509862675,0.1245,106.7802564,-6.3285962,CINERE
SO358936,0.366235,0.22,106.769332,-6.187174,KEBON JERUK
SO358935,0.051104,0.024553000000000002,106.725209,-6.222742,KEMBANGAN
SO358929,0.120757085,0.10636,106.7610283,-6.2415367,PESANGGRAHAN
SO358923,0.07113624,0.0544,106.7074968,-6.2936396,CIPUTAT
SO358915,0.35014,0.18,106.7932798,-6.2587587,KEBAYORAN BARU
SO358911,0.025688,0.012897,106.7147266,-6.3529808,SETU
SO358899,0.35014,0.18,106.7708397,-6.4202379,SAWANGAN
SO358897,0.15126573,0.076237,106.71943,-6.16878,CENGKARENG
SO358890,0.038108,0.011514,106.7075124,-6.1556724,KALI DERES
SO358889,0.06632853,0.015666,106.7862815,-6.4455261,BOJONG GEDE
SO358887,0.00889203,0.0068,106.7059575,-6.397899,GUNUNG SINDUR
SO358874,0.2030735,0.113978,106.77144,-6.30528,CIPUTAT TIMUR
SO358869,0.12136792,0.0581,106.5749151,-6.184725,PERIUK
SO358867,0.1238696,0.066334,106.5291485,-6.1859434,PASARKEMIS
SO358865,0.06959403,0.02515,106.724227,-6.2555236,PONDOK AREN
